ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,fh_status
Niger,4.5,-3.0,43.9,12.39,0,0,0,0,0,1,-0.786162566729321,partly free
Nigeria,4.5,4.0,42.9,7.28,0,0,0,0,0,1,-1.05979890651506,partly free
Pakistan,4.5,5.0,31.2,21.23,0,0,0,0,0,0,-0.884608798110971,partly free
Papua New Guinea,3.5,4.0,50.9,0.92,0,0,0,0,0,0,-1.32452131085468,partly free
Paraguay,3.0,8.0,53.2,13.6,0,1,0,0,0,0,-1.19040084434992,partly free
Philippines,3.5,8.0,44.0,20.23,0,0,0,1,0,0,-0.663144559133422,partly free
Qatar,5.5,-10.0,41.1,0.0,1,0,0,0,0,0,1.14895376106147,partly free
Russian Federation,5.5,4.0,43.7,11.47,0,0,0,0,0,0,-0.917828992213867,partly free
Rwanda,5.5,-3.0,46.7,50.94,0,0,0,0,0,1,-0.164223000498563,partly free
Senegal,3.0,7.0,39.2,29.2,0,0,0,0,0,1,-0.366590316792602,partly free
Sierra Leone,3.0,7.0,42.5,13.22,0,0,0,0,0,1,-1.06766058586761,partly free
Singapore,4.5,-2.0,42.5,24.47,0,0,0,1,0,0,2.19852816137966,partly free
Sri Lanka,4.0,6.0,41.1,5.78,0,0,0,0,0,0,-0.193983916717163,partly free
Tajikistan,5.5,-3.0,33.6,19.59,0,0,0,0,0,0,-1.00613513848042,partly free
Tanzania,3.5,-1.0,34.6,30.41,0,0,0,0,0,1,-0.439213089003676,partly free
Thailand,4.5,4.0,42.5,12.7,0,0,0,1,0,0,-0.225074311389067,partly free
Togo,4.5,-4.0,34.4,11.11,0,0,0,0,0,1,-0.9964824635599,partly free
Turkey,3.0,7.0,41.2,9.11,1,0,0,0,0,0,0.0743557869505077,partly free
Uganda,4.5,-1.0,42.6,30.72,0,0,0,0,0,1,-0.819750555271628,partly free
"Venezuela, RB",4.5,-3.0,43.4,18.56,0,1,0,0,0,0,-1.06167951677692,partly free
"Yemen, Rep.",5.5,-2.0,37.7,0.73,1,0,0,0,0,0,-0.808839779566311,partly free
Zambia,3.5,7.0,50.7,15.19,0,0,0,0,0,1,-0.601142208680117,partly free
